statement,effective_date,owner_occupied_limit_balance,rate_pct_pa
1,01 AUG 22,"445,000.00",3.4300
1,12 AUG 22,"445,000.00",3.9300
1,16 SEP 22,"444,461.70",4.4300
2,23 SEP 22,"444,461.70",4.4300
2,14 OCT 22,"443,906.50",4.6800
2,11 NOV 22,"443,520.80",4.9300
2,16 DEC 22,"442,883.20",5.1800
2,17 FEB 23,"441,999.00",5.4300
2,17 MAR 23,"441,368.90",5.6800
3,23 MAR 23,"441,368.90",5.6800
3,12 MAY 23,"440,371.90",5.9300
3,16 JUN 23,"439,993.20",6.1800
4,22 SEP 23,"438,731.30",6.1800
4,17 NOV 23,"437,902.50",6.4300
4,14 MAR 24,"436,020.30",6.4300
5,22 MAR 24,"436,020.30",6.4300
5,05 SEP 24,"433,354.30",6.4300
6,23 SEP 24,"433,354.30",6.4300
6,28 FEB 25,"431,048.10",6.1800
7,21 MAR 25,"430,440.40",6.1800
7,17 APR 25,"430,126.40",6.1800
7,30 MAY 25,"429,446.50",5.9300
7,22 AUG 25,"427,979.60",5.6800
7,10 SEP 25,"427,508.40",5.6800
8,23 SEP 25,"427,508.40",5.6800
8,03 DEC 25,"426,392.80",5.6800
8,28 JAN 26,"425,266.10",5.6800
8,13 FEB 26,"424,732.00",5.9300
8,06 MAR 26,"424,055.20",5.9300
